iter	Passed	Remaining
0	8	72716
1	13	56404
2	19	52034
3	24	49513
4	28	46517
5	32	44899
6	38	45165
7	42	43460
8	46	42462
9	52	43139
10	57	42983
11	62	42599
12	66	42005
13	71	41635
14	76	41835
15	84	42967
16	89	43032
17	95	43160
18	100	43345
19	107	44122
20	115	44783
21	123	45944
22	130	46472
23	136	46389
24	143	46810
25	149	46814
26	154	46588
27	159	46418
28	164	46268
29	169	46168
30	176	46532
31	185	47309
32	192	47626
33	200	48154
34	207	48456
35	215	48775
36	220	48517
37	225	48412
38	233	48733
39	240	49016
40	246	49062
41	254	49294
42	258	49038
43	262	48663
44	267	48360
45	272	48337
46	280	48674
47	287	48721
48	291	48524
49	296	48337
50	301	48131
