iter	MultiClass
0	1.084165589
1	1.071020822
2	1.057639191
3	1.044719389
4	1.034023916
5	1.023331164
6	1.013137678
7	1.002726958
8	0.9938364752
9	0.9843486801
10	0.975277787
11	0.9671870982
12	0.9589323046
13	0.9513115502
14	0.9438551843
15	0.9361653346
16	0.9294547446
17	0.9228862927
18	0.915795913
19	0.9091777362
20	0.9027557632
21	0.8966163102
22	0.8909536384
23	0.8854804112
24	0.8805241667
25	0.8748985046
26	0.870240283
27	0.8654288401
28	0.8609004606
29	0.8568070397
30	0.852436677
31	0.8481570865
32	0.8440835272
33	0.8404576861
34	0.8364611009
35	0.8328282467
36	0.8295043731
37	0.8262396711
38	0.8229100161
39	0.8194818163
40	0.816335767
41	0.8137439765
42	0.8103264875
43	0.8078814841
44	0.8053032366
45	0.8024561492
46	0.7997979877
47	0.7976534661
48	0.7952300407
49	0.7930208882
50	0.7903811087
51	0.7880968834
52	0.7863912164
53	0.7843562136
54	0.7823944096
55	0.7806323464
56	0.7786157863
57	0.7768516275
58	0.7751947878
59	0.7733021644
60	0.7715694585
61	0.7700144437
62	0.7687213808
63	0.7666844014
64	0.7649189236
65	0.7632520911
66	0.7622119574
67	0.7606868014
68	0.7592768927
69	0.7581725282
70	0.7569636531
71	0.7558487482
72	0.7544275195
73	0.7531611793
74	0.7521958301
75	0.751034156
76	0.7498979101
77	0.7487166724
78	0.7476446834
79	0.746654142
80	0.7460161107
81	0.7449349124
82	0.7436610865
83	0.7427247209
84	0.7415321167
85	0.740851878
86	0.7401835273
87	0.7392205069
88	0.7385904328
89	0.737773218
90	0.7370380354
91	0.7359356802
92	0.7351255019
93	0.7344936229
94	0.7336106482
95	0.7328381169
96	0.7319232091
97	0.7309255045
98	0.7301872307
99	0.7293412288
100	0.7285648017
101	0.7278800958
102	0.727060191
103	0.7264064346
104	0.7258828831
105	0.7249988624
106	0.72433983
107	0.723673896
108	0.7227722993
109	0.7219274547
110	0.7213364155
111	0.7209316833
112	0.7205642081
113	0.7197649668
114	0.7192119397
115	0.7185810121
116	0.7180708922
117	0.7172876272
118	0.7167153167
119	0.7162309803
120	0.7156575407
121	0.7152121424
122	0.7147183631
123	0.714036287
124	0.7135376843
125	0.7130861508
126	0.712455096
127	0.7118558818
128	0.711497515
129	0.7111476613
130	0.7107943654
131	0.7102152798
132	0.7097786519
133	0.7093185296
134	0.7089501187
